ID,ID_Trismegistos,ID_status,Name,Alternative_name,Family,Phylum,Earliest,Floruit,Latest,Issue,Attestation,Status,Region,Latitude,Longitude,Parent,Source,Relevance,Note
sarm1200,90; 103,0,Scythian,"Scytho-Sarmatian, Alanian",Indo-European,Iranian,,,,,,,Steppe,,,iran1269,,,
sica1234,,1,Sicanian,Sicana,Indo-European,Unclassified,,,,,,,Italy,,,indo1319,,0,Not attested according to SOURCE
sicu1234 ,61,1,Sicel,"Siculian, Sicula",Indo-European,Unclassified,,,,,,,Italy,,,indo1319,,1,
side1240,89,1,Sidetic,,Indo-European,Anatolian,,,,,,,Anatolia,,,anat1257,,1,
sogd1245,108,1,Sogdian,,Indo-European,Iranian,,,,,,,Iran,,,iran1269,,,
sout2618,36,1,South Picene,Old Sabellic,Indo-European,Italic,,,,0,epigraphic,language,Italy,,,sabe1249,,1,
sume1241,78,1,Sumerian,,Unclassified,,-3200,,-1900,,,,ANE,,,NA,,1,
clas1252,62,1,Syriac,,Afro-Asiatic,Semitic,,,,,,,ANE,,,semi1276,,,
tart1237,,1,Tartessian,,Unclassified,,,,,,,,Iberia,,,NA,,1,
taym1240,,1,Taymanitic,,Afro-Asiatic,Semitic,,,,,,dialect,Arabia,,,anci1245,,,
tham1200,63,0,Thamudic,,Afro-Asiatic,Semitic,,,,,,,Arabia,,,anci1245,,,"""pending"" category for Ancient North Arabian"
thra1250,88,1,Thracian,,Indo-European,Balkan,,,,,,,Balkans,,,grae1234,,1,
ugar1238,,1,Ugaritic,,Afro-Asiatic,Semitic,-1300,-1200,-1190,,,,ANE,35.6,35.78,semi1276,,1,
umbr1253,36,1,Umbrian,,Indo-European,Italic,,,,0,epigraphic,language,Italy,42.75,13.02,sabe1249,,1,
urar1245,97,1,Urartian,,Hurro-Urartian,,,,,,,,Caucasus,,,hurr1240,,1,
basq1248,95,1,Vasconic,,Vasconic,,,,,,,,Iberia,,,NA,,1,
vene1257,68,1,Venetic,Venetian,Indo-European,Italic,,,,,,,Italy,,,indo1319,,1,
vest1239,36,1,Vestinian,,Indo-European,Italic,,,,0,epigraphic,dialect,Italy,,,osca1245,,1,
vols1237,36,1,Volscian,,Indo-European,Italic,,,,0,epigraphic,dialect,Italy,,,umbr1253,,1,
